"","現在お住いの場所はどこですか_一人暮らし","現在お住いの場所はどこですか_実家","洗濯のめんどくさいと思う所を選択してください_天気によって乾き具合や取り入れが左右すること","洗濯のめんどくさいと思う所を選択してください_洗剤や柔軟剤の買い足し","洗濯のめんどくさいと思う所を選択してください_洗濯物をたたんだ後しまう場所に困る","洗濯のめんどくさいと思う所を選択してください_洗濯物を干す事","洗濯のめんどくさいと思う所を選択してください_洗濯物を洗濯機に入れる事","洗濯の頻度はどれくらいですか_それ以下","洗濯の頻度はどれくらいですか_ほぼ毎日","洗濯の頻度はどれくらいですか_週2~3回","どの程度洗濯物をクリーニングやコインランドリーで洗濯しますか_全くない","どの程度洗濯物をクリーニングやコインランドリーで洗濯しますか_半年に一度","どの程度洗濯物をクリーニングやコインランドリーで洗濯しますか_月に一度","自分のことを潔癖だと思いますか","自分のことを几帳面だと思いますか","大学の課題に追われてやりたいことができなかったことはどれくらいありますか","洗濯をする時間がないと思ったことはありますか","洗濯をするのがめんどくさいと思いますか","洗濯物を干すのに十分なスペースはありますか","洗濯物が乾かず困ったことはありますか"
"1",1,0,0,0,0,1,0,0,0,1,0,1,0,2,4,4,5,4,4,4
"2",1,0,1,0,0,0,0,0,0,1,0,0,1,2,2,2,3,2,2,3
"3",1,0,1,0,0,0,0,1,0,0,1,0,0,2,3,5,5,5,4,1
"4",0,0,0,0,0,1,0,0,0,0,1,0,0,4,2,4,1,5,2,4
"6",1,0,0,0,0,0,0,0,0,1,1,0,0,3,2,5,2,2,2,1
"7",1,0,0,0,0,1,0,0,0,1,1,0,0,1,2,4,3,4,2,4
"8",1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,4,1,5,4
"9",1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,2,2,4,2,4
"10",1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,3,1,2,2,4
"12",0,0,0,0,1,0,0,0,1,0,1,0,0,4,4,2,1,1,5,2
"13",1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,5,4,5,5,1
"14",1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,4,4,5,4,4
"16",1,0,0,0,0,1,0,0,0,1,1,0,0,4,4,2,3,5,3,1
"17",1,0,0,0,0,1,0,0,0,1,0,1,0,2,4,2,4,5,4,2
"18",1,0,0,0,0,0,0,0,1,0,0,1,0,5,4,2,2,3,5,2
"20",1,0,0,0,0,0,0,0,0,1,1,0,0,2,4,4,4,5,4,2
"21",1,0,0,1,0,0,0,0,0,1,0,0,1,2,2,4,2,5,4,5
