"","自分のことを潔癖だと思いますか","自分のことを几帳面だと思いますか","大学の課題に追われてやりたいことができなかったことはどれくらいありますか","洗濯をする時間がないと思ったことはありますか","洗濯をするのがめんどくさいと思いますか","洗濯物を干すのに十分なスペースはありますか","洗濯物が乾かず困ったことはありますか","他人に自分の洗濯物を洗われるのは嫌ですか","他人の洗濯物と一緒に洗われるのは嫌ですか","出先で洗濯ができずに困った経験はありますか","外出先で自宅の洗濯に関して気がかりになった経験ありますか","洗濯代行サービスがあるとしたら使いたいと思いますか"
"1",2,4,4,5,4,4,4,5,5,1,2,3
"2",2,2,2,3,2,2,3,5,5,2,2,2
"3",2,3,5,5,5,4,1,5,5,2,1,2
"4",4,2,4,1,5,2,4,5,3,2,2,4
"6",3,2,5,2,2,2,1,1,1,4,1,1
"7",1,2,4,3,4,2,4,5,5,1,2,1
"8",1,1,5,4,1,5,4,5,5,4,3,5
"9",1,1,2,2,4,2,4,5,5,5,5,4
"10",2,2,3,1,2,2,4,2,4,2,4,2
"12",4,4,2,1,1,5,2,5,5,1,1,1
"13",2,1,5,4,5,5,1,5,5,1,1,4
"14",2,1,4,4,5,4,4,2,1,1,1,2
"16",4,4,2,3,5,3,1,5,5,1,1,1
"17",2,4,2,4,5,4,2,5,5,1,4,2
"18",5,4,2,2,3,5,2,3,5,2,1,1
"20",2,4,4,4,5,4,2,5,2,1,4,2
"21",2,2,4,2,5,4,5,5,5,3,4,2
"23",1,1,1,4,5,3,5,5,5,2,1,4
"24",4,4,4,1,2,4,4,4,4,5,4,4
"25",5,2,1,3,5,5,5,1,1,1,5,1
"26",4,4,1,1,2,5,5,5,5,3,5,1
"27",4,4,2,2,5,5,4,5,5,5,3,2
"28",1,3,5,1,5,4,2,3,3,3,3,5
"29",2,2,2,1,5,4,3,4,3,4,2,1
"30",3,2,4,1,3,5,3,5,5,1,1,1
"31",2,1,2,4,5,5,2,4,5,4,2,2
"32",3,3,3,4,4,4,3,5,5,2,2,3
"33",2,2,1,5,1,5,5,2,5,5,1,1
"34",1,2,5,3,4,4,3,3,3,4,4,4
"35",2,1,4,5,5,4,4,5,5,1,1,4
"36",4,3,2,2,4,4,4,4,4,2,3,1
"37",4,4,3,4,4,5,4,2,4,5,3,1
"39",2,2,2,4,4,4,2,4,5,1,1,4
"40",5,4,3,3,4,5,1,5,1,1,3,1
"41",3,3,3,4,4,4,3,3,4,2,3,3
"42",2,3,4,5,2,4,4,4,5,5,4,2
"43",3,2,4,3,5,4,4,5,5,2,2,4
"44",2,1,5,5,5,4,2,5,5,2,2,3
"45",4,3,4,5,5,5,1,5,5,5,1,1
"47",4,3,4,5,2,5,3,5,4,4,4,1
"48",3,4,2,1,5,5,1,2,2,1,1,4
"51",2,2,2,2,4,4,4,5,4,3,3,4
"52",4,4,1,4,4,3,4,5,4,4,2,4
"53",2,2,4,2,5,3,4,2,1,3,4,2
"54",1,2,4,4,5,5,1,5,5,1,1,2
"55",3,4,4,4,5,4,3,4,4,4,4,2
"56",2,2,5,1,3,4,4,2,4,1,1,2
"57",3,3,5,5,5,4,5,4,3,2,3,2
"60",2,1,3,2,5,3,2,5,5,1,1,4
"61",2,2,3,4,1,5,4,3,5,4,4,5
"62",2,3,1,1,5,5,1,5,5,1,1,2
"63",2,4,4,4,5,4,2,5,5,2,3,2
"65",1,2,4,2,3,2,4,2,4,2,2,2
"66",2,1,4,4,4,3,5,2,4,2,4,2
"67",1,2,4,5,5,5,5,5,2,4,4,5
"68",4,1,2,4,4,3,4,2,5,3,4,1
